x: 	y: 
1	inf
4	0.849322
7	0.948326
10	1.04199
2	0.849322
2.11	0.840508
2.22	0.834217
2.33	0.829844
2.44	0.826957
2.55	0.82524
2.66	0.824459
2.77	0.824433
2.88	0.825024
2.99	0.826122
3.1	0.827642
3.21	0.829512
5000	12.1145
5001	12.1156
2020	8.14571
2020.13	8.14595
2020.27	8.14618
2020.4	8.14641
2020.53	8.14665
2020.67	8.14688
2020.8	8.14711
2020.93	8.14735
2021.07	8.14758
2021.2	8.14781
2021.33	8.14805
2021.47	8.14828
2021.6	8.14851
2021.73	8.14875
2021.87	8.14898
2022	8.14921
2020	8.14571
2020.13	8.14595
2020.27	8.14618
2020.4	8.14641
2020.53	8.14665
2020.67	8.14688
2020.8	8.14711
2020.93	8.14735
2021.07	8.14758
2021.2	8.14781
2021.33	8.14805
2021.47	8.14828
2021.6	8.14851
2021.73	8.14875
2021.87	8.14898
2022	8.14921

